consumption,total_value,total_weighted_rate,rate,category,benchmark
cloth,23844234.0,1192211.7,0.05,Non_Food,0.15
clothes,255762845.71800995,12788142.285900498,0.05,Non_Food,0.15
donation,16098201.323547363,0.0,0.0,Non_Food,0.15
education_services_government,10604506.0,0.0,0.0,Non_Food,0.15
education_services_government_college,8229981.0,1234497.15,0.15,Non_Food,0.15
education_services_private,61914445.0,8974161.75,0.14,Non_Food,0.15
education_services_private_college,17736166.0,2660424.9,0.15,Non_Food,0.15
electronics_ict,12350360.666671753,1852554.1000007628,0.15,Non_Food,0.15
electronics_ict_repair,80710.0,8071.0,0.1,Non_Food,0.15
entertainment_goods_music,103900.0,15585.0,0.15,Non_Food,0.15
entertainment_goods_sports,5292354.809638977,793853.2214458466,0.15,Non_Food,0.15
financial_services,6424251.880950928,545380.4821426391,0.08,Non_Food,0.15
food_basic,1699222581.1206439,14766458.713206636,0.01,Food,0.15
food_non_basic,260252052.95145682,13697118.677021636,0.05,Food,0.15
footwear,49240942.24848175,7386141.337272262,0.15,Non_Food,0.15
footwear_services,134590.0,20188.5,0.15,Non_Food,0.15
fuel,101937565.0,8567273.916666666,0.08,Non_Food,0.15
fuel_biomass,89329151.0,1705957.0749999997,0.02,Non_Food,0.15
furniture_fixtures,32199750.0,4822866.0,0.15,Non_Food,0.15
health_equipment,337320.0,50598.0,0.15,Non_Food,0.15
health_services,18737025.0,46675.95,0.0,Non_Food,0.15
health_services_dental,1500000.0,0.0,0.0,Non_Food,0.15
health_services_paramedical,2005550.0,0.0,0.0,Non_Food,0.15
health_services_testing,16696220.0,0.0,0.0,Non_Food,0.15
hospital_services,44210976.0,4216256.7,0.1,Non_Food,0.15
hotel_services,3875720.0,550794.0,0.14,Non_Food,0.15
house_repair_goods,67576979.0,8895364.1,0.13,Non_Food,0.15
house_repair_services,25108874.75,94377.5625,0.0,Non_Food,0.15
household_accessories_medical,966960.0000610352,145044.00000915528,0.15,Non_Food,0.15
household_electric_equipment,24992856.333374023,3748928.4500061036,0.15,Non_Food,0.15
household_equipment,14140469.330490112,2121070.399573517,0.15,Non_Food,0.15
household_gardening,683895.0,32817.75,0.05,Non_Food,0.15
household_goods,19004875.0,1589998.35,0.08,Non_Food,0.15
household_items,67799358.33333333,10169903.749999998,0.15,Non_Food,0.15
household_repair_services,980457.9166717529,120587.68750076294,0.12,Non_Food,0.15
household_services,108907629.33333333,224575.375,0.0,Non_Food,0.15
household_utensils,8495452.866830826,1274317.9300246239,0.15,Non_Food,0.15
interest,7028385.833312988,0.0,0.0,Non_Food,0.15
jewellery,64580964.0,3237089.1,0.05,Non_Food,0.15
legal_services,9691630.50024414,605184.45,0.06,Non_Food,0.15
medical_accessories,8191281.333333333,1228692.2,0.15,Non_Food,0.15
medical_life_saving,270504201.0,40575630.15,0.15,Non_Food,0.15
motor_vehicle_four_wheeler,19743980.0,2961597.0,0.15,Non_Food,0.15
motor_vehicle_two_wheeler,23417120.0,3512568.0,0.15,Non_Food,0.15
non_motorized_vehicle,6701087.77419281,814816.5,0.12,Non_Food,0.15
other_services,50985983.64371252,1543045.0714287043,0.03,Non_Food,0.15
personal_accessories,8857703.0,1271639.475,0.14,Non_Food,0.15
personal_accessories_services,2280.0,342.0,0.15,Non_Food,0.15
personal_expenses_religious,2662.5,399.375,0.15,Non_Food,0.15
personal_products,132761255.33333333,19914188.299999997,0.15,Non_Food,0.15
personal_services,31749792.666666664,4762468.899999999,0.15,Non_Food,0.15
recreation,861059.3333333334,0.0,0.0,Non_Food,0.15
religious_services,148328668.99993896,480306.0,0.0,Non_Food,0.15
rent,378555215.0,56783282.25,0.15,Non_Food,0.15
restaurant,145366294.29684323,7322431.798320529,0.05,Non_Food,0.15
sports_recreation_services,11960531.83226204,1480830.5998409272,0.12,Non_Food,0.15
stationery,29155756.0,704470.05,0.02,Non_Food,0.15
tailoring_cleaning,20710331.0,3106549.65,0.15,Non_Food,0.15
tax,27781386.666679382,0.0,0.0,Non_Food,0.15
telecom_equipment,35971705.0,1907086.0,0.05,Non_Food,0.15
telecom_services,105137848.5,15770677.274999999,0.15,Non_Food,0.15
transport,127732261.0,11426684.524999999,0.09,Non_Food,0.15
transport_services,9952959.0,1492943.85,0.15,Non_Food,0.15
travel,2585580.0,387837.0,0.15,Non_Food,0.15
travel_religious,7140850.0,0.0,0.0,Non_Food,0.15
utilities,136311318.3333333,17896437.275,0.13,Non_Food,0.15
vehicle_equipment,2835054.333267212,425258.1499900818,0.15,Non_Food,0.15
vehicle_services,9555314.9167099,1064780.99167099,0.11,Non_Food,0.15
