field_name,long_name,description,itr_ref,notes,row_var,row_label,start_year,cpi_inflatable,cpi_inflated,col_var,col_label,boolean_value,integer_value,value,benchmark,range,min,max,out_of_range_minmsg,out_of_range_maxmsg,out_of_range_action
_rate_cloth,VAT for consumption of _rate_cloth,VAT for consumption of _rate_cloth,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_cloth_curr_law,VAT for consumption of _rate_cloth_curr_law,VAT for consumption of _rate_cloth_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_clothes,VAT for consumption of _rate_clothes,VAT for consumption of _rate_clothes,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_clothes_curr_law,VAT for consumption of _rate_clothes_curr_law,VAT for consumption of _rate_clothes_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_donation,VAT for consumption of _rate_donation,VAT for consumption of _rate_donation,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_donation_curr_law,VAT for consumption of _rate_donation_curr_law,VAT for consumption of _rate_donation_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_education_services_government,VAT for consumption of _rate_education_services_government,VAT for consumption of _rate_education_services_government,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_education_services_government_curr_law,VAT for consumption of _rate_education_services_government_curr_law,VAT for consumption of _rate_education_services_government_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_education_services_government_college,VAT for consumption of _rate_education_services_government_college,VAT for consumption of _rate_education_services_government_college,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_education_services_government_college_curr_law,VAT for consumption of _rate_education_services_government_college_curr_law,VAT for consumption of _rate_education_services_government_college_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_education_services_private,VAT for consumption of _rate_education_services_private,VAT for consumption of _rate_education_services_private,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
_rate_education_services_private_curr_law,VAT for consumption of _rate_education_services_private_curr_law,VAT for consumption of _rate_education_services_private_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
