,weight,CONS_Total,vatax,table_row
11963,4800.865898653466,31023.40125147367,3165.57514604896,1
7362,814.1182794629115,31466.77444681328,512.8540163340554,1
8488,3272.1324122540395,36325.00358745062,501.22782008495864,1
8484,3272.1324122540395,42592.80122814702,622.5463547813648,1
8481,3272.1324122540395,44929.01598352855,555.9093567251806,1
13887,2305.327641308141,51293.63326257718,808.6478110586277,1
2143,6939.214439708846,53426.08342570218,5104.978265881202,1
2007,6939.214439708846,60202.21593800601,1091.843293327166,1
8487,3272.1324122540395,61745.05843417743,887.7616070449787,1
5526,4547.623343457116,64089.742871933435,3830.459674625127,1
13564,517.7007819861022,68764.67820588419,1154.8897331351466,1
12691,2305.327641308141,73778.66573612254,3613.896053475237,1
8360,3272.132160492847,74658.97574095674,1991.907131919813,1
4456,7785.998859758548,75063.81295541668,2790.454094999918,1
13553,517.7007819861022,75523.23773814735,1242.2312384697293,1
5960,1324.229128667104,75775.32355083153,7106.209028920393,1
4537,10143.090238659672,75852.30422903186,3050.0599725641446,1
11536,4800.8665280564455,78261.62637591502,1080.522843304445,1
5430,1324.2290027865074,78479.76544390048,2857.413270323094,1
4779,7785.998859758548,80393.92797952246,4616.225077979227,1
8489,3272.1324122540395,80752.28217385028,1265.3581966186402,1
911,2307.8033349930224,80995.31122558459,1809.9784619084203,1
1115,598.8519238057842,82281.51089061756,5347.121831295931,1
5961,1324.229128667104,84763.82945683257,1318.3306902498916,1
2206,2950.229418801961,85154.63585131502,1266.4831859387652,1
8568,3272.1324122540395,86033.43699261546,3861.3328481967487,1
7813,3272.1324122540395,87751.47411695603,2742.7762088782024,1
8366,3272.132160492847,87865.97770751869,1302.6278776491222,1
11826,4800.8665280564455,90002.30294721614,5265.338850348762,1
8485,3272.1324122540395,90566.73604050171,1289.4964692086392,1
10434,1640.3388453222326,92145.87001592606,4998.610582044405,1
8476,3272.1324122540395,93183.61015240222,1471.2351620249292,1
12509,4800.8665280564455,94713.06976287752,5468.884200975092,1
5806,4547.623721098905,94921.51308500028,4980.975099613899,1
11207,4800.865898653466,95264.259580616,5651.515700694429,1
3700,7771.830243376004,95665.25035648281,1309.656121032342,1
6832,4547.623721098905,99441.80333079486,11109.337998903562,1
8491,3272.1324122540395,99590.9535066751,1240.5065161670984,1
4644,7785.998859758548,101668.85368887722,6273.40585197788,1
11292,4800.865898653466,101734.20698951182,5867.861150558606,1
8896,3272.132160492847,102073.4081032917,4973.369317682123,1
8911,3272.132160492847,102638.41753591046,4892.729314285819,1
7471,3272.1324122540395,103422.9728772472,1718.223235408469,1
7169,4547.623343457116,104602.93995811068,2918.705526507251,1
9303,1640.3388453222326,106270.08560338244,7792.318130478833,1
14308,541.1050437126495,106683.99393516431,3077.1258524543864,1
793,2307.802957351234,107106.8229227297,1899.8756921096278,1
7866,814.1182794629115,109564.93523695134,7136.023492195206,1
11706,1079.7404360090336,110365.20924916989,5499.758036799988,1
13262,2305.327641308141,111699.3238332994,4033.308925468647,1
8486,3272.1324122540395,112075.59108367198,1630.6465406689824,1
9105,5442.816405570072,112134.48508807813,6730.44390971716,1
7326,814.1184053435077,113164.51802837831,1427.9838304630503,1
10336,5442.816405570072,113212.82671969009,4994.698634073639,1
11955,4800.865898653466,114628.48079034788,8078.398226907384,1
8475,3272.1324122540395,115340.80398842503,1504.3419905886078,1
8361,3272.132160492847,115672.9723304412,8031.290111282343,1
841,2307.802957351234,116370.54157619984,2469.508349442769,1
8483,3272.1324122540395,116818.5774159063,1587.7636725081206,1
8350,3272.132160492847,117147.42739324979,6829.270787096556,1
8480,3272.1324122540395,117488.8672198832,1993.5986699639436,1
10813,4800.8665280564455,118763.20181212237,2011.7356929054708,1
11561,4800.8665280564455,119463.41293483431,7490.293803284112,1
10246,5442.816405570072,119645.35359699951,4006.4177913220974,1
6274,4547.623343457116,120529.16495277645,7328.210468954743,1
12106,1079.7404360090336,121271.6994291289,5565.349054141156,1
7025,4547.623343457116,121323.75217825784,4517.957521292932,1
11510,4800.865898653466,121761.48369167765,6713.748522653001,1
9644,5442.816405570072,121908.4180039105,6742.202001759616,1
9780,5442.816405570072,122128.29503926403,5863.477484952499,1
8482,3272.1324122540395,122157.37691073581,1799.1989476922085,1
7796,814.1182794629115,122321.30430098444,4173.733647049919,1
8477,3272.1324122540395,122717.91165558618,1531.2006206286655,1
11177,1079.7404360090336,123044.7067967384,3952.1175693760974,1
5807,4547.623721098905,125029.89152099504,5664.945087309406,1
7282,814.1182794629115,125401.49436049107,6465.401201278757,1
10934,1079.7404360090336,125709.23271630073,6253.5025816637535,1
9709,5442.816405570072,126099.63459932574,7241.554338479729,1
12394,1079.7404360090336,126700.73146559499,6988.390305875321,1
11300,4800.865898653466,127471.68007167701,8631.721463109872,1
8362,3272.132160492847,127736.61013341739,8499.54659624313,1
291,598.8518860416053,129586.22624347125,2733.967076955473,1
6251,4547.623721098905,131129.81690685154,5804.202631219299,1
12342,4800.8665280564455,131398.8385045373,8641.473593594897,1
7845,3272.1324122540395,132116.4668882776,10551.139572696407,1
11419,4800.8665280564455,132462.66426039758,9459.664205808142,1
11298,4800.865898653466,132510.11381233064,10511.945240470388,1
5016,7785.998859758548,134442.44356606356,8087.043352702476,1
11278,1079.7404360090336,134982.51289846972,7452.740033499091,1
11651,4800.8665280564455,137181.97414325533,5997.885222867415,1
5648,1324.2290027865074,137815.47309321546,6355.002238591249,1
11496,4800.865898653466,138817.95808731415,8395.840418808955,1
8490,3272.1324122540395,138938.14094714445,1843.1401679999094,1
8478,3272.1324122540395,139638.22140907586,1767.0407162197464,1
12358,4800.8665280564455,139790.04565627218,6329.721614906182,1
9315,5442.816405570072,139849.39285670055,6416.039555904036,1
10821,4800.8665280564455,140147.83067076164,8682.554810681264,1
708,598.8518860416053,140149.0477848814,6829.720650894831,1
10427,1526.2924098784906,140192.27323486947,8320.611525801676,1
7562,3272.132160492847,140451.19278536137,2024.471199181033,1
7872,814.1182794629115,140476.73428313894,16570.43025318277,1
2140,6939.214439708846,140654.0821293759,7558.336747135977,1
5982,4547.623343457116,140660.39323574345,7187.963300877424,1
11345,1079.7404360090336,140857.0036911171,7464.927032977597,1
7451,3272.132160492847,141272.25618066936,8039.781504824869,1
7107,1324.229128667104,141634.15611480785,5867.915691590161,1
11687,1079.7404360090336,142018.6245664991,10563.094532947729,1
1722,2307.8033349930224,142238.7611335399,6508.770950884993,1
11967,4800.865898653466,142407.41019356798,6968.493711790118,1
8651,3272.132160492847,143258.8602747745,3476.4296361824504,1
11534,4800.8665280564455,143500.6041665996,6151.52443626913,1
8030,772.3876030264923,144036.26324713993,2833.687384298404,1
10521,5442.816405570072,144076.53543915803,6610.1752075439845,1
8646,3272.132160492847,144321.40090131422,3019.0474573245483,1
14193,2305.327641308141,145242.6954342572,6772.73347054212,1
6755,4547.623343457116,146693.37733333185,10454.16357097727,1
7658,3272.1324122540395,146763.46162814484,9621.834853756609,1
9447,5442.816405570072,147232.42290704284,6588.855057759056,1
3400,6939.214439708846,147278.24720458698,7058.385643965158,1
13128,2305.327641308141,147371.64102466684,2345.485137758163,1
11820,4800.8665280564455,147795.23074593945,9698.683296087585,1
12496,4800.8665280564455,147872.34745687776,9298.94315879185,1
10939,1079.7404360090336,147873.18153568817,13258.676783857976,1
