,index,pitax_2027,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-0.5 m,"6,938","6,938","6,329","5,948","5,271","4,235","3,590"
3,0.5-1m,"74,958","75,046","65,955","64,159","53,461","51,273","49,302"
4,1-1.5m,"90,293","91,752","99,171","102,673","111,652","112,205","94,718"
5,1.5-2m,"77,275","82,236","103,448","107,485","106,898","106,732","124,473"
6,2-3m,"89,365","98,221","109,982","135,175","166,019","197,262","227,603"
7,3-4m,"56,983","63,703","73,015","83,728","103,390","114,087","129,911"
8,4-5m,"51,351","57,949","60,819","65,268","68,691","83,706","98,445"
9,5-10m,"127,647","145,253","173,910","205,620","235,331","267,996","300,411"
10,>10m,"257,252","292,283","347,574","412,670","491,854","584,341","694,132"
11,ALL,"832,061","913,381","1,040,202","1,182,727","1,342,567","1,521,837","1,722,585"
