,index,pitax_2027,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0, 0-10n,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0
2, 0-10p,22,22,61,119,261,880,"2,209"
3, 10-20,"5,885","5,885","11,748","19,982","30,571","43,070","57,385"
4, 20-30,"38,593","38,611","52,579","68,323","85,920","105,514","127,303"
5, 30-40,"84,734","84,894","104,342","125,982","150,029","176,191","205,834"
6, 40-50,"134,419","134,566","159,466","186,547","216,740","253,966","297,401"
7, 50-60,"183,850","183,499","213,151","249,561","292,467","340,461","393,903"
8, 60-70,"253,744","256,623","300,316","349,250","403,744","464,374","531,852"
9, 70-80,"351,829","370,084","426,959","490,202","560,561","638,808","725,804"
10, 80-90,"548,821","600,060","683,025","775,379","878,167","992,553","1,119,864"
11, 90-100,"2,342,838","2,656,020","2,979,864","3,341,867","3,746,540","4,199,087","4,705,081"
12, ALL,"394,477","433,030","493,155","560,726","636,505","721,496","816,670"
13, 90-95,"994,795","1,116,607","1,258,934","1,417,374","1,592,274","1,791,577","2,019,552"
14, 95-99,"2,089,960","2,387,523","2,691,904","3,035,506","3,425,231","3,859,760","4,342,810"
15, Top 1%,"10,094,314","11,426,795","12,736,050","14,189,428","15,802,724","17,593,523","19,581,344"
