other_income,interest_income,business_income,emp_income
26100,26100,0,0
0,0,0,99292.15
0,0,0,79008.25
0,0,0,83826
0,0,0,25000
0,0,0,87330.35
0,0,0,60000
0,0,0,78661
0,0,0,108815.25
0,0,0,19150
0,0,0,25000
0,0,0,123568
0,0,0,60000
0,0,0,25850
0,0,0,47189.1
123373.3333,123373.3333,0,0
0,0,0,17556
0,0,0,25220
0,0,0,25135.2
0,0,0,25135.2
0,0,0,80000
0,0,0,124560
0,0,0,80000
0,0,0,35650
0,0,0,35300
0,0,0,108000
0,0,0,47775
0,0,0,40000
6.666666667,6.666666667,0,0
0,0,0,60000
5520,5520,0,0
0,0,0,30996
0,0,0,91942
0,0,0,128000
103333.3333,103333.3333,0,0
0,0,0,62160
14953.33333,14953.33333,0,0
0,0,0,29400
0,0,0,59496.26
0,0,0,61786
0,0,0,136000
0,0,0,15221.3
0,0,0,25135.2
0,0,0,95058.83
0,0,0,124350
0,0,0,69500
0,0,0,125000
0,0,0,120750
0,0,0,143592
0,0,0,19833
0,0,0,120000
0,0,0,80000
0,0,0,69500
0,0,0,104000
0,0,0,131943.7
140993.3333,140993.3333,0,0
0,0,0,127800
0,0,0,118000
0,0,0,69141
0,0,0,109000
0,0,0,114000
0,0,0,30000
44713.33333,44713.33333,0,0
0,0,0,125000
0,0,0,80000
0,0,0,67950
0,0,0,82927.42
0,0,0,107251.69
0,0,0,56353.13
0,0,0,143301
0,0,0,110000
0,0,0,53734
0,0,0,42992
30226.66667,30226.66667,0,0
0,0,0,75000
0,0,0,48547.86
0,0,0,88990
6666.666667,6666.666667,0,0
0,0,0,90008.52
14666.66667,14666.66667,0,0
0,0,0,123000
0,0,0,73769.54
0,0,0,138000
0,0,0,99360
0,0,0,73000
0,0,0,36980.49
0,0,0,30000
0,0,0,33000
0,0,0,13262
0,0,0,50346
0,0,0,122919.73
0,0,0,53630
33500,33500,0,0
0,0,0,80000
93026.66667,93026.66667,0,0
0,0,0,45000
0,0,0,44613
0,0,0,101673
0,0,0,95900
0,0,0,69700
0,0,0,120000
0,0,0,21072.37
0,0,0,140000
0,0,0,30600
0,0,0,26200
0,0,0,49600
0,0,0,112030
0,0,0,34897
0,0,0,114286
0,0,0,138000
