id_n,weight,Year,GROSS_INCOME,CONS_Food1,CONS_Food2,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
31101,121.69,2015,10473.36035,431.16,0,1628.0207999999998,1000,0,0,0,0,480,0,388.9999981,0,0,3928.1807980799995,3497.0207980799996,5173.92
21909,95.66,2015,49739.27929199999,308.06,0,0,12200,3386.742728,16939,24,43019.99999,15360,1200,3492.000046,0,5128,101057.8028,100749.7428,3696.7200000000003
28009,63.75,2015,28573.713863999998,312.33,0,0,0,0,0,0,480,0,0,0,0,0,792.3299999999999,480,3747.96
48215,80.57,2015,12181.26709,517.8,0,4961.5872,35921,14640,362.00000004000003,14292,14208,14736,1800,0,0,54958,156396.3872,155878.5872,6213.599999999999
6209,110.38,2015,677083.3594,356.53,0,0,5000,21600,0,65,49200,27744,8400,20200.00049,19340.39978,22800,174705.93027240402,174349.40027240402,4278.36
14104,136.88,2015,11994.58374,441.1103536,0,1938.12,19200,6000,840,0,480,960,0,1350.999996,168,9864,41242.230349599995,40801.119995999994,5293.324243
14902,103.82,2015,17033.15918,361.46,0,0,750,1080,0,408,4272,1032,0,0,72,816,8791.46,8430,4337.5199999999995
56111,66.09,2015,25527.536136000002,415.4649491,0,0,0,600,1632,6012,0,0,0,460.0000048,1392,0,10511.46495,10096,4985.579389
53914,48.92,2015,19023.18164,415.17,0,2849.988,299.00000004000003,0,504,0,0,0,0,0,622.8000184,1052.4,5743.358018,5328.188018,4982.04
27403,69.52,2015,21772.59082,356,0,2984.7048,1760,240,72,67.19999886,0,0,0,959.9999771,0,1906.8000000000002,8346.704776,7990.704776,4272
16706,96.91,2015,0,361.46,0,0,0,0,0,204,0,0,0,0,0,0,565.46,204,4337.5199999999995
31806,73.98,2015,5604,431.16,0,0,0,6000,720,0,960,0,0,229.99999235999996,0,0,8341.159992,7909.999992,5173.92
41109,21.34,2015,114551.27343600002,653.66,0,0,6699.999999600001,399.99998471999993,4422,12230,0,2880,0,3189.999938,0,3849.6000000000004,34325.259926720006,33671.59993,7843.92
18101,94.98,2015,572.0000152800001,361.46,0,0,3200.0000004000003,6780,0,0,336,7680,0,0,0,5736,24093.46,23732,4337.5199999999995
37206,79.41,2015,27908.30274,393.7124367,0,0,1530,9775.461682,0,30,8352,480,800,259.99999235999996,120,3600,25341.174110699998,24947.46167,4724.54924
44805,82.23,2015,25734.266604000004,496.34,0,11552.747879999999,2300.0000004000003,480,50,1000,1824,1080,0,0,1246.800018,0,20029.8879,19533.5479,5956.08
6311,79.24,2015,24541.36084,776.3251148,0,0,2120.0000004000003,3276,0,1800,14674.999992000001,2400,0,7500,10200,0,42747.32511,41970.99999,9315.901377600001
55403,47.9,2015,3481.3439940000003,415.17,0,0,0,0,0,0,0,0,0,0,0,0,415.17,0,4982.04
46007,102.32,2015,50625.59766,409.16,0,0,0,7887.730840800001,0,2180.0000004000003,3360,1800,0,0,0,5760,21396.890841200002,20987.730841200002,4909.92
29402,103.79,2015,17329.992191999998,369.86,0,0,0,840,0,132,504,3480,0,0,0,2208,7533.86,7164,4438.32
14402,96.42,2015,29456.54297,433.506928,0,2687.04,900,600,72,240,1152,480,0,180,0,180,6924.546928,6491.04,5202.083136
43509,85.21,2015,432000,589.5,0,0,7959.999999600001,0,718.8,6600,5720,7560,11700,0,2808,7012.799999999999,50669.100000000006,50079.600000000006,7074
34403,83.47,2015,6256.47583,389.57,0,0,0,1200,312,0,0,96,0,0,550.7999954,922.8000000000001,3471.1699954400005,3081.5999954400004,4674.84
40608,46.89,2015,439727.3906,444.2,0,0,41500,764537.9050799999,11937.599999999999,15401,52264,16800,6360,21124.00031,960,4500,935828.7053839999,935384.5053839999,5330.4
11113,68.7,2015,27316.35937,390.18,0,0,500,3600,0,0,0,480,5500,919.9999694399999,264,3060,14714.17997,14323.99997,4682.16
22515,48.29,2015,14583.36035,417.38,0,0,1939.8000000000002,0,4329.6,0,960,0,0,1170,0,836.4000000000001,9653.18,9235.800000000001,5008.5599999999995
53814,78.28,2015,17579.616216000002,915.25,0,0,0,0,1064,0,48000,21600,0,1010.000004,48,7604.400000000001,80241.65,79326.4,10983
35710,80.06,2015,50979.35742,436.2,0,4431.348,3200.0000004000003,3840,9.600000000000001,1452,3072,10872,0,859.9999694399999,1488,3218.7999996000003,32879.94797,32443.74797,5234.4
35805,65.69,2015,36000,389.57,0,69130.266,4050,1680,6500.000000399999,0,10320,13800,0,0,1944,0,107813.83600040001,107424.266,4674.84
10911,164.6,2015,123984.7266,423.95,0,0,1823,1920,480,189,4416,660,1260,2991.000062,0,2784,16946.95006,16523.000062799998,5087.4
5408,77.07,2015,122436,356.53,0,0,3650.0000004000003,1800,0,96,2748,2400,0,0,504,27720,39274.53,38918,4278.36
