,index,vatax_2022,vatax_ref_2022,vatax_ref_2023,vatax_ref_2024,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030,vatax_ref_2031,vatax_ref_2032
0, 0-10n,0,0,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0,0,0
2, 0-10p,"4,998","4,998","5,652","6,296","6,925","7,883","8,751","9,627","10,741","12,014","13,437","15,030"
3, 10-20,"8,178","8,178","9,247","10,301","11,331","12,898","14,318","15,752","17,574","19,657","21,986","24,591"
4, 20-30,"10,664","10,664","12,058","13,432","14,775","16,819","18,671","20,540","22,916","25,632","28,669","32,066"
5, 30-40,"12,710","12,710","14,371","16,010","17,611","20,046","22,253","24,481","27,313","30,550","34,170","38,219"
6, 40-50,"15,285","15,285","17,283","19,254","21,179","24,108","26,762","29,441","32,848","36,740","41,094","45,963"
7, 50-60,"18,035","18,035","20,392","22,717","24,989","28,445","31,577","34,737","38,757","43,349","48,486","54,232"
8, 60-70,"21,331","21,331","24,119","26,869","29,556","33,643","37,348","41,086","45,840","51,272","57,347","64,143"
9, 70-80,"25,968","25,968","29,361","32,709","35,980","40,956","45,465","50,016","55,803","62,415","69,811","78,084"
10, 80-90,"35,070","35,070","39,653","44,174","48,591","55,311","61,401","67,547","75,362","84,293","94,281","105,454"
11, 90-100,"72,646","72,646","82,141","91,505","100,656","114,576","127,191","139,923","156,112","174,611","195,303","218,446"
12, ALL,"22,491","22,491","25,430","28,329","31,162","35,472","39,377","43,319","48,331","54,058","60,464","67,629"
13, 90-95,"48,514","48,514","54,855","61,109","67,219","76,516","84,940","93,443","104,254","116,608","130,426","145,882"
14, 95-99,"77,280","77,280","87,380","97,342","107,076","121,884","135,304","148,848","166,069","185,749","207,760","232,379"
15, Top 1%,"174,077","174,077","196,829","219,267","241,194","274,551","304,779","335,288","374,081","418,409","467,991","523,448"
