,index,vatax_2022,vatax_ref_2022,vatax_ref_2023,vatax_ref_2024,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030,vatax_ref_2031,vatax_ref_2032
0,<0,0,0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0,0,0
2,0-10k,0,0,0,0,0,0,0,0,0,0,0,0
3,10k-25k,39,39,33,24,27,11,11,11,11,12,0,0
4,25k-50k,719,719,493,308,242,183,121,94,51,43,52,21
5,50k-75k,"2,476","2,476","2,064","1,581","1,154",789,558,378,341,181,145,81
6,75k-100k,"5,222","5,222","3,924","3,109","2,630","1,973","1,489","1,220",748,609,342,334
7,100k-200k,"104,563","104,563","87,115","66,021","53,315","36,169","25,137","18,257","13,497","9,854","8,502","6,404"
8,200k-500k,"483,225","483,225","545,601","553,806","541,317","518,832","481,512","436,188","381,718","319,442","253,888","194,173"
9,500k-1m,"267,515","267,515","369,735","450,778","541,497","642,549","725,008","806,054","879,301","928,120","950,473","942,337"
10,>1m,"178,871","178,871","257,715","321,327","396,468","548,661","707,914","873,916","1,107,603","1,407,426","1,768,168","2,191,538"
11,ALL,"1,042,630","1,042,630","1,266,681","1,396,954","1,536,649","1,749,168","1,941,751","2,136,120","2,383,269","2,665,687","2,981,571","3,334,887"
