,weight_2022,vatax_2022,CONS_Total_2022,weight_ref_2022,vatax_ref_2022,CONS_Total_ref_2022,weight_ref_2023,vatax_ref_2023,CONS_Total_ref_2023,weight_ref_2024,vatax_ref_2024,CONS_Total_ref_2024,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,weight_ref_2031,vatax_ref_2031,CONS_Total_ref_2031,weight_ref_2032,vatax_ref_2032,CONS_Total_ref_2032,ETR,ETR_ref
0,"457,178.2044",832.0000,"17,558.0000","457,178.2044",832.0000,"17,558.0000","491,218.8946","1,010.0000","21,331.0000","486,300.5812","1,114.0000","23,525.0000","486,300.5812","1,226.0000","25,878.0000","486,300.5812","1,395.0000","29,457.0000","486,300.5812","1,549.0000","32,700.0000","486,300.5812","1,704.0000","35,973.0000","486,300.5812","1,901.0000","40,135.0000","486,300.5812","2,126.0000","44,891.0000","486,300.5812","2,378.0000","50,211.0000","486,300.5812","2,660.0000","56,161.0000",0.0474,0.0474
1,"469,733.4292","1,411.0000","28,358.0000","469,733.4292","1,411.0000","28,358.0000","504,708.9595","1,714.0000","34,452.0000","499,655.5773","1,891.0000","37,996.0000","499,655.5773","2,080.0000","41,795.0000","499,655.5773","2,368.0000","47,575.0000","499,655.5773","2,628.0000","52,813.0000","499,655.5773","2,891.0000","58,100.0000","499,655.5773","3,226.0000","64,822.0000","499,655.5773","3,608.0000","72,504.0000","499,655.5773","4,036.0000","81,095.0000","499,655.5773","4,514.0000","90,705.0000",0.0498,0.0498
2,"458,733.2431","1,671.0000","33,908.0000","458,733.2431","1,671.0000","33,908.0000","492,889.7188","2,030.0000","41,194.0000","487,954.6763","2,238.0000","45,431.0000","487,954.6763","2,462.0000","49,974.0000","487,954.6763","2,803.0000","56,886.0000","487,954.6763","3,111.0000","63,149.0000","487,954.6763","3,423.0000","69,470.0000","487,954.6763","3,819.0000","77,507.0000","487,954.6763","4,271.0000","86,692.0000","487,954.6763","4,777.0000","96,965.0000","487,954.6763","5,343.0000","108,455.0000",0.0493,0.0493
3,"468,622.1686","2,164.0000","40,531.0000","468,622.1686","2,164.0000","40,531.0000","503,514.9564","2,629.0000","49,241.0000","498,473.5290","2,899.0000","54,305.0000","498,473.5290","3,189.0000","59,735.0000","498,473.5290","3,630.0000","67,997.0000","498,473.5290","4,030.0000","75,483.0000","498,473.5290","4,433.0000","83,039.0000","498,473.5290","4,946.0000","92,647.0000","498,473.5290","5,533.0000","103,625.0000","498,473.5290","6,188.0000","115,905.0000","498,473.5290","6,921.0000","129,640.0000",0.0534,0.0534
4,"461,131.1239","2,426.0000","44,287.0000","461,131.1239","2,426.0000","44,287.0000","495,466.1416","2,947.0000","53,804.0000","490,505.3027","3,250.0000","59,337.0000","490,505.3027","3,575.0000","65,271.0000","490,505.3027","4,070.0000","74,298.0000","490,505.3027","4,518.0000","82,478.0000","490,505.3027","4,970.0000","90,735.0000","490,505.3027","5,545.0000","101,233.0000","490,505.3027","6,202.0000","113,229.0000","490,505.3027","6,937.0000","126,646.0000","490,505.3027","7,759.0000","141,654.0000",0.0548,0.0548
5,"464,669.6144","2,578.0000","48,091.0000","464,669.6144","2,578.0000","48,091.0000","499,268.1019","3,131.0000","58,425.0000","494,269.1960","3,454.0000","64,434.0000","494,269.1960","3,799.0000","70,877.0000","494,269.1960","4,324.0000","80,679.0000","494,269.1960","4,800.0000","89,562.0000","494,269.1960","5,281.0000","98,527.0000","494,269.1960","5,892.0000","109,927.0000","494,269.1960","6,590.0000","122,953.0000","494,269.1960","7,371.0000","137,523.0000","494,269.1960","8,244.0000","153,820.0000",0.0536,0.0536
6,"464,885.4348","2,961.0000","50,905.0000","464,885.4348","2,961.0000","50,905.0000","499,499.9920","3,597.0000","61,844.0000","494,498.7643","3,967.0000","68,205.0000","494,498.7643","4,364.0000","75,025.0000","494,498.7643","4,967.0000","85,401.0000","494,498.7643","5,514.0000","94,804.0000","494,498.7643","6,066.0000","104,294.0000","494,498.7643","6,768.0000","116,361.0000","494,498.7643","7,570.0000","130,149.0000","494,498.7643","8,467.0000","145,572.0000","494,498.7643","9,471.0000","162,822.0000",0.0582,0.0582
7,"463,507.9529","2,841.0000","53,483.0000","463,507.9529","2,841.0000","53,483.0000","498,019.9451","3,451.0000","64,976.0000","493,033.5364","3,806.0000","71,659.0000","493,033.5364","4,187.0000","78,825.0000","493,033.5364","4,766.0000","89,726.0000","493,033.5364","5,291.0000","99,605.0000","493,033.5364","5,820.0000","109,576.0000","493,033.5364","6,494.0000","122,254.0000","493,033.5364","7,263.0000","136,741.0000","493,033.5364","8,124.0000","152,944.0000","493,033.5364","9,087.0000","171,068.0000",0.0531,0.0531
8,"455,039.3546","2,943.0000","54,490.0000","455,039.3546","2,943.0000","54,490.0000","488,920.7898","3,576.0000","66,199.0000","484,025.4861","3,944.0000","73,008.0000","484,025.4861","4,338.0000","80,309.0000","484,025.4861","4,938.0000","91,415.0000","484,025.4861","5,482.0000","101,480.0000","484,025.4861","6,031.0000","111,638.0000","484,025.4861","6,728.0000","124,555.0000","484,025.4861","7,526.0000","139,315.0000","484,025.4861","8,417.0000","155,823.0000","484,025.4861","9,415.0000","174,288.0000",0.0540,0.0540
9,"471,832.8688","3,343.0000","58,696.0000","471,832.8688","3,343.0000","58,696.0000","506,964.7198","4,061.0000","71,309.0000","501,888.7517","4,478.0000","78,643.0000","501,888.7517","4,926.0000","86,507.0000","501,888.7517","5,608.0000","98,471.0000","501,888.7517","6,225.0000","109,313.0000","501,888.7517","6,848.0000","120,255.0000","501,888.7517","7,640.0000","134,169.0000","501,888.7517","8,546.0000","150,067.0000","501,888.7517","9,558.0000","167,850.0000","501,888.7517","10,691.0000","187,741.0000",0.0570,0.0570
10,"463,282.5425","3,195.0000","59,699.0000","463,282.5425","3,195.0000","59,699.0000","497,777.7511","3,882.0000","72,528.0000","492,793.7673","4,281.0000","79,987.0000","492,793.7673","4,709.0000","87,986.0000","492,793.7673","5,360.0000","100,155.0000","492,793.7673","5,951.0000","111,182.0000","492,793.7673","6,546.0000","122,311.0000","492,793.7673","7,304.0000","136,462.0000","492,793.7673","8,169.0000","152,633.0000","492,793.7673","9,137.0000","170,720.0000","492,793.7673","10,220.0000","190,951.0000",0.0535,0.0535
11,"463,149.0129","3,505.0000","61,528.0000","463,149.0129","3,505.0000","61,528.0000","497,634.2791","4,258.0000","74,750.0000","492,651.7319","4,696.0000","82,437.0000","492,651.7319","5,166.0000","90,681.0000","492,651.7319","5,880.0000","103,222.0000","492,651.7319","6,528.0000","114,587.0000","492,651.7319","7,181.0000","126,057.0000","492,651.7319","8,012.0000","140,642.0000","492,651.7319","8,961.0000","157,308.0000","492,651.7319","10,023.0000","175,949.0000","492,651.7319","11,211.0000","196,799.0000",0.0570,0.0570
12,"461,621.7314","3,499.0000","63,012.0000","461,621.7314","3,499.0000","63,012.0000","495,993.2788","4,251.0000","76,553.0000","491,027.1620","4,688.0000","84,426.0000","491,027.1620","5,157.0000","92,869.0000","491,027.1620","5,870.0000","105,712.0000","491,027.1620","6,516.0000","117,351.0000","491,027.1620","7,168.0000","129,098.0000","491,027.1620","7,998.0000","144,035.0000","491,027.1620","8,946.0000","161,103.0000","491,027.1620","10,006.0000","180,194.0000","491,027.1620","11,191.0000","201,547.0000",0.0555,0.0555
13,"465,726.7714","3,555.0000","65,451.0000","465,726.7714","3,555.0000","65,451.0000","500,403.9730","4,319.0000","79,515.0000","495,393.6942","4,763.0000","87,693.0000","495,393.6942","5,240.0000","96,462.0000","495,393.6942","5,964.0000","109,803.0000","495,393.6942","6,621.0000","121,893.0000","495,393.6942","7,284.0000","134,094.0000","495,393.6942","8,127.0000","149,609.0000","495,393.6942","9,090.0000","167,337.0000","495,393.6942","10,167.0000","187,167.0000","495,393.6942","11,371.0000","209,346.0000",0.0543,0.0543
14,"460,594.4616","3,737.0000","66,465.0000","460,594.4616","3,737.0000","66,465.0000","494,889.5204","4,541.0000","80,748.0000","489,934.4549","5,008.0000","89,052.0000","489,934.4549","5,508.0000","97,958.0000","489,934.4549","6,270.0000","111,505.0000","489,934.4549","6,960.0000","123,782.0000","489,934.4549","7,657.0000","136,172.0000","489,934.4549","8,543.0000","151,928.0000","489,934.4549","9,555.0000","169,931.0000","489,934.4549","10,688.0000","190,068.0000","489,934.4549","11,954.0000","212,591.0000",0.0562,0.0562
15,"467,179.1991","3,810.0000","69,202.0000","467,179.1991","3,810.0000","69,202.0000","501,964.5460","4,629.0000","84,073.0000","496,938.6420","5,105.0000","92,720.0000","496,938.6420","5,616.0000","101,992.0000","496,938.6420","6,392.0000","116,097.0000","496,938.6420","7,096.0000","128,880.0000","496,938.6420","7,806.0000","141,780.0000","496,938.6420","8,709.0000","158,184.0000","496,938.6420","9,741.0000","176,929.0000","496,938.6420","10,896.0000","197,895.0000","496,938.6420","12,187.0000","221,346.0000",0.0551,0.0551
